Nom,Followers,MoyenneSpectateurs,PicAudience,HeuresRegardees,DureeStreamingMin,DernierJeu
kamet0,1729321,17811,87870,1988866,6700,VALORANT
gotaga,4090189,13150,42259,1707327,7790,Minecraft
jltomy,1207532,11779,19118,1653040,8420,Grand Theft Auto V
zerator,1534773,11284,30375,1228025,6530,Minecraft
etoiles,1013007,5673,19649,711030,7520,Minecraft
domingo,1693772,11061,32967,687623,3730,Just Chatting
aminematue,2295056,25306,38742,603137,1430,Just Chatting
locklear,2076843,3783,7607,454607,7210,Super Mario Party Jamboree
sardoche,1284153,1795,4647,362037,12100,Street Fighter 6
squeezie,4423681,27937,45964,297990,640,Mario Party
wankilstudio,1190619,6761,13773,242264,2150,Just Chatting
mickalow,1143452,863,4222,150533,10460,Minecraft
skyrroztv,1107454,1370,2468,121201,5310,Call of Duty: Warzone
lebouseuh,2001526,1650,4564,57492,2090,Rocket League
kennys,1079957,998,1918,7817,470,Counter-Strike: Global Offensive
doigby,1733216,663,815,2320,210,League of Legends
solaryfortnite,2176448,368,458,1654,270,Fortnite
